Status,Ime,Prezime,Godine,Grad,Profesija,Pleme
 ,Ivana,Štrbac,31,Novi Sad,Pevačica,Crveno
🔥,Vojislav,Vrećo,30,Beograd,HR Konsultant,Crveno
🔥,Katarina,Nikolić,27,Novi Sad,Magistar ekonomije i marketinga,Crveno
🔥,Uroš,Velanac,26,Beograd,Košarkaš,Crveno
🔥,Vesna,Jovanović,40,Novi Sad,Psihološkinja,Crveno
🔥,Mitar,Pešić,42,Beograd,Preduzetnik,Crveno
 ,Varja,Topalović,26,Beograd,Pevačica,Crveno
 ,Marko,Kovačević,20,Beograd,Barmen,Crveno
🔥,Tijana,Jeremić,21,Beograd,Studentkinja FON-a,Crveno
🔥,Ognjen,Dimić,25,Budva,Fitnes trener,Crveno
🔥,Stefan,Arsić,26,Vranje,Personalni trener,Crveno
🔥,Anđela,Šarčević,26,Podgorica,Ekonomista,Crveno
🔥,Matea,Galić,25,Šibenik,Farmaceutski tehničar,Plavo
 ,Meggy,Alobić,34,Bregi,Fizioterapeutkinja,Plavo
🔥,Martina,Fudurić,33,Zagreb,Profesorka fizičkog vaspitanja,Plavo
 ,Jakob,Kosić,30,Zagreb,MMA borac,Plavo
 ,Nikola,Renić,21,Zagreb,Student sociologije,Plavo
 ,Katia,Žunić,22,Rijeka,Fizioterapeutkinja,Plavo
🔥,Dorian,Ivanovski,25,Stupnik,Plino-instalater,Plavo
 ,Damjan,Puljić,30,Čapljina,Magistar mašinstva,Plavo
🔥,Luka,Rimac,26,Osijek,Vaterpolista,Plavo
🔥,Mihaela,Pavlović,30,Dubrovnik,Profesorka fizičkog vaspitanja,Plavo
🔥,Alex,Percan,31,Pula,Kondicioni trener,Plavo
🔥,Nancy,Poropat,29,Pula,Fitnes trener,Plavo
