Igra,Nedelja,Crveni,Plavi,Runda,Poligon,Crveni_preciznost,Plavi_preciznost,Poen
0,1,Ognjen,Luka,1,2,,,1
0,1,Katarina,Meggy,1,2,,,1
1,1,Katarina,Mihaela,1,,,,2
1,1,Marko,Dorian,1,,,,2
1,1,Vojislav,Damjan,2,,,,1
1,1,Tijana,Martina,2,,,,1
1,1,Ognjen,Luka,3,,,,2
1,1,Ivana,Matea,3,,,,2
1,1,Uroš,Nikola,4,,,,1
1,1,Varja,Katia,4,,,,1
1,1,Mitar,Jakob,5,,,,1
1,1,Vesna,Meggy,5,,,,1
1,1,Uroš,Dorian,6,,,,1
1,1,Tijana,Meggy,6,,,,1
2,1,Vojislav,Dorian,1,2,41.67%,58.33%,2
2,1,Katarina,Meggy,2,1,45.45%,40.00%,1
2,1,Mitar,Damjan,3,2,25.00%,50.00%,2
2,1,Vesna,Martina,4,2,57.14%,62.50%,2
2,1,Marko,Luka,5,2,50.00%,66.67%,2
2,1,Tijana,Katia,6,1,54.55%,33.33%,1
2,1,Uroš,Nikola,7,2,9.09%,63.64%,2
3,1,Vojislav,Jakob,1,1,0.00%,28.57%,2
3,1,Vesna,Martina,2,2,33.33%,0.00%,1
3,1,Uroš,Dorian,3,1,66.67%,,1
3,1,Varja,Matea,4,2,28.57%,0.00%,1
3,1,Mitar,Luka,5,2,33.33%,0.00%,1
3,1,Tijana,Meggy,6,2,22.22%,14.29%,1
3,1,Ognjen,Damjan,7,1,33.33%,0.00%,1
3,1,Katarina,Mihaela,8,2,0.00%,22.22%,2
3,1,Marko,Nikola,9,2,22.22%,0.00%,1
3,1,Ivana,Katia,10,1,28.57%,16.67%,1
3,1,Ognjen,Jakob,11,1,40.00%,0.00%,1
3,1,Ivana,Mihaela,12,2,0.00%,50.00%,2
3,1,Marko,Damjan,13,1,11.11%,0.00%,1
4,1,Vojislav,Luka,1,1,37.50%,50.00%,2
4,1,Ivana,Martina,2,2,31.25%,50.00%,2
4,1,Ognjen,Jakob,3,1,27.78%,39.13%,2
4,1,Katarina,Matea,4,1,45.00%,32.00%,1
4,1,Marko,Nikola,5,2,53.33%,60.00%,2
4,1,Varja,Katia,6,2,41.18%,24.00%,1
4,1,Vojislav,Damjan,7,1,43.75%,42.86%,1
4,1,Tijana,Mihaela,8,1,47.06%,29.41%,1
4,1,Uroš,Dorian,9,1,43.75%,15.38%,1
